iteration	date	domain	gaps_found	gaps_fixed	gate	loop_status
0	2026-07-14	plan	1	1	PASS	BASELINE
1	2026-07-14	plan	0	0	PASS	HALTED_SUCCESS
0	2026-07-15	tests	1	0	CONDITIONAL	BASELINE
1	2026-07-15	tests	1	0	CONDITIONAL	HALTED_KNOWN_GAP
0	2026-07-15	plan	2	2	PASS	BASELINE
1	2026-07-15	plan	0	0	PASS	HALTED_SUCCESS
0	2026-07-15	tests	0	0	PASS	BASELINE
1	2026-07-15	tests	0	0	PASS	HALTED_SUCCESS
0	2026-07-15	plan	2	2	PASS	BASELINE
1	2026-07-15	plan	0	0	PASS	HALTED_SUCCESS
0	2026-07-15	tests	0	0	PASS	BASELINE
1	2026-07-15	tests	0	0	PASS	HALTED_SUCCESS
0	2026-07-15	plan	2	2	PASS	BASELINE
1	2026-07-15	plan	0	0	PASS	HALTED_SUCCESS
0	2026-07-16	tests	1	0	CONDITIONAL	BASELINE
1	2026-07-16	tests	1	0	CONDITIONAL	HALTED_KNOWN_GAP
