cycle	phase	domain	gaps_found	gaps_fixed	gate	loop_status	date
0	ALL	plan	17	0	BASELINE	RUNNING	2026-07-25
0	phase-01	plan	5	0	BLOCKED	RUNNING	2026-07-25
0	phase-02	plan	3	0	CONDITIONAL	RUNNING	2026-07-25
0	phase-03	plan	5	0	CONDITIONAL	RUNNING	2026-07-25
0	phase-04	plan	3	0	CONDITIONAL	RUNNING	2026-07-25
0	phase-05	plan	0	3	PASS	HALTED_SUCCESS	2026-07-25
0	phase-06	plan	3	2	CONDITIONAL	RUNNING	2026-07-25
1	phase-01	plan	5	5	PENDING_REVALIDATE	RUNNING	2026-07-25
1	phase-02	plan	3	3	CONDITIONAL	CYCLE_COMPLETE	2026-07-25
1	phase-03	plan	5	5	CONDITIONAL	CYCLE_COMPLETE	2026-07-25
1	phase-04	plan	3	3	CONDITIONAL	CYCLE_COMPLETE	2026-07-25
1	phase-06	plan	1	1	PENDING_REVALIDATE	RUNNING	2026-07-25
2	phase-01	plan	0	5	PASS	HALTED_SUCCESS	2026-07-25
2	phase-06	plan	0	1	CONDITIONAL	HALTED_ACCEPTED	2026-07-25
1	phase-01-inner	plan	3	1	BLOCKED	RUNNING	2026-07-26
2	phase-01-inner	plan	3	8	BLOCKED	RUNNING	2026-07-26
3	phase-01-inner	plan	3	7	BLOCKED	RUNNING	2026-07-26
4	phase-01-inner	plan	2	3	CONDITIONAL	RUNNING	2026-07-26
5	phase-01-inner	plan	2	2	CONDITIONAL	HALTED_ACCEPTED	2026-07-26
1	phase-01-evl	tests	1	1	PASS	HALTED_SUCCESS	2026-07-26
1	phase-02-inner	plan	2	2	PASS	HALTED_SUCCESS	2026-07-26
1	phase-02-evl	tests	0	0	PASS	HALTED_SUCCESS	2026-07-26
